task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b6/14f438	1460108	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-24 12:48:43.376	1.7s	1.5s	14.9%	5.7 MB	40.4 MB	280.2 MB	280.1 MB
3	b8/7de600	1460083	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-24 12:48:43.265	1.9s	1.6s	13.7%	6.1 MB	40.4 MB	281.9 MB	281.8 MB
1	3d/c832d9	1460086	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-24 12:48:43.333	1.9s	1.6s	13.3%	5.9 MB	40.4 MB	279.6 MB	279.5 MB
4	37/99bbc8	1460562	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:48:45.193	42.9s	42.6s	665.5%	3.7 GB	4.4 GB	561.2 MB	231.2 KB
6	08/2ba4e4	1460575	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:48:45.291	46.8s	46.4s	619.7%	4.3 GB	4.9 GB	564.7 MB	219 KB
7	33/974816	1460615	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:45.410	1m 6s	1m 6s	677.1%	6.6 GB	7.4 GB	564.9 MB	181.5 KB
5	3a/263da7	1460564	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:45.218	1m 8s	1m 7s	702.8%	5.6 GB	6.2 GB	561.4 MB	166.4 KB
11	e1/a9e010	1466184	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:49:51.669	2.8s	2.2s	66.3%	47.4 MB	4.2 GB	14.4 MB	6 KB
10	5b/c7769c	1466182	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:49:51.641	2.8s	2.3s	66.1%	72 MB	4.2 GB	14.4 MB	6.8 KB
12	7f/143383	1466190	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:49:51.699	2.8s	2.2s	74.2%	73 MB	4.2 GB	14.3 MB	4.5 KB
13	88/e7ef8e	1466643	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:49:52.792	2.6s	1.9s	110.3%	67 MB	4.2 GB	14.3 MB	4.8 KB
14	2d/f29a6d	1467209	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:49:54.515	1.2s	686ms	83.0%	11.6 MB	48.2 MB	282 MB	4.9 KB
15	ae/fe406d	1467246	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:49:54.547	1.2s	741ms	75.5%	3 MB	20.3 MB	280.2 MB	6.2 KB
16	83/74ce7b	1467276	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:49:54.605	1.4s	628ms	90.2%	11.8 MB	49.4 MB	282 MB	3 KB
17	55/ee1b00	1467578	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:49:55.697	1.1s	648ms	89.8%	11.6 MB	48.2 MB	280.2 MB	3.3 KB
18	37/3c23ef	1467581	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:49:55.815	2.1s	1.9s	515.1%	185.4 MB	1.3 GB	206.1 KB	48.8 KB
19	e8/a2eaaf	1467788	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:49:56.882	2s	1.8s	518.5%	186.8 MB	1.3 GB	208.7 KB	64.5 KB
20	6f/f6f78f	1468025	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:49:57.994	1.8s	1.6s	505.1%	192.5 MB	1.3 GB	202.2 KB	29.7 KB
21	29/5b8615	1468260	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:49:58.928	1.6s	1.3s	418.9%	233.4 MB	1.3 GB	202.8 KB	33.6 KB
8	7a/cf3581	1464263	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:49:28.155	36.5s	36.1s	734.8%	3.5 GB	4.1 GB	560.1 MB	229.1 KB
22	a4/f7059e	1468669	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:50:04.712	2.4s	1.8s	165.6%	54.7 MB	4.2 GB	14.4 MB	6.5 KB
23	ae/c88021	1468872	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:50:07.134	1.1s	613ms	87.8%	10.9 MB	48.2 MB	279.6 MB	4.8 KB
24	e1/b4f85f	1468989	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:50:08.317	1.9s	1.7s	537.9%	190.3 MB	1.3 GB	205.8 KB	48.3 KB
9	bf/6d37f6	1464724	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:49:32.184	1m 4s	1m 3s	708.5%	6.4 GB	7.1 GB	560.3 MB	192.6 KB
25	ff/fd6dc0	1469527	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:50:36.367	2s	1.6s	215.4%	53.7 MB	4.2 GB	14.3 MB	5.2 KB
26	09/dbd3ab	1469702	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:50:38.407	1.5s	1.1s	54.9%	10.8 MB	48 MB	279.6 MB	3 KB
27	55/229cae	1469816	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:50:39.960	1.7s	1.5s	507.9%	194.9 MB	1.3 GB	202.2 KB	29.2 KB
28	23/668b46	1470000	MERGE_BLAST_RESULTS	COMPLETED	0	2025-07-24 12:50:41.802	395ms	44ms	32.2%	2.8 MB	20.3 MB	374.7 KB	252.9 KB
29	bb/65d5d2	1470094	PROCESS_RESULTS	COMPLETED	0	2025-07-24 12:50:42.246	2.7s	2.5s	178.1%	71.4 MB	4.2 GB	48.4 MB	5.6 KB
30	01/6c2a1a	1470318	BUILD_SUMMARY	COMPLETED	0	2025-07-24 12:50:45.061	3.1s	2.6s	145.9%	74.7 MB	4.2 GB	15.3 MB	358.3 KB
