task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	e1/e80f30	1645784	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-24 14:23:53.600	1s	872ms	26.0%	6 MB	40.4 MB	279.6 MB	279.5 MB
2	99/d52f93	1645768	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-24 14:23:53.584	1s	870ms	23.8%	5.7 MB	40.4 MB	280.2 MB	280.1 MB
3	66/978522	1645763	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-24 14:23:53.560	1.1s	890ms	26.4%	6 MB	40.4 MB	281.9 MB	281.8 MB
4	3f/1b52b1	1646116	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 14:23:54.673	23s	22.7s	1248.7%	6.8 GB	8.1 GB	561.2 MB	231.2 KB
5	20/3bafef	1646122	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 14:23:54.718	35.6s	35.3s	1333.6%	9.9 GB	11 GB	561.4 MB	166.4 KB
6	89/7aa3fc	1653903	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 14:24:17.678	22.3s	22.1s	1278.4%	7.3 GB	8.4 GB	564.7 MB	219 KB
8	4b/5e5901	1659134	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 14:24:39.998	21.5s	21.4s	1285.2%	5.3 GB	6.5 GB	560.1 MB	229.1 KB
9	20/a1d134	1658287	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 14:24:30.299	40.8s	40.7s	1165.7%	9.3 GB	10.6 GB	560.3 MB	192.6 KB
13	71/748069	1661185	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 14:25:11.255	1.8s	1.3s	140.5%	24.1 MB	4.2 GB	14.4 MB	6.5 KB
12	0e/4dae5d	1661167	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 14:25:11.235	1.8s	1.3s	111.6%	12.7 MB	49.8 MB	14.4 MB	6 KB
10	2f/a6b8a5	1661149	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 14:25:11.165	1.9s	1.6s	106.5%	56.1 MB	4.2 GB	14.4 MB	6.8 KB
14	86/b6601f	1661326	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:11.480	1.6s	1.4s	121.6%	69.9 MB	4.2 GB	14.3 MB	5.2 KB
11	bb/34073b	1661153	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:11.202	1.9s	1.6s	105.1%	60.2 MB	4.2 GB	14.3 MB	4.8 KB
18	7f/af63e4	1662248	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:13.097	1.2s	703ms	75.5%	2.9 MB	20.3 MB	279.6 MB	3 KB
17	9d/032e7b	1662267	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 14:25:13.216	1.1s	629ms	92.1%	11.8 MB	49.4 MB	280.2 MB	6.2 KB
16	a5/80d7da	1662254	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 14:25:13.136	1.7s	786ms	72.8%	10.9 MB	48 MB	282 MB	4.9 KB
15	21/7cdde0	1662498	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 14:25:13.906	968ms	596ms	94.7%	11.9 MB	49.4 MB	279.6 MB	4.8 KB
19	be/8efc3e	1662529	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:13.953	1.2s	648ms	86.6%	11.6 MB	48.4 MB	280.2 MB	3.3 KB
20	21/573287	1662858	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:15.178	1.5s	1.4s	629.1%	201.5 MB	2.1 GB	202.2 KB	29.2 KB
21	86/afd9df	1663027	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 14:25:16.731	1.8s	1.6s	583.5%	185.1 MB	2.1 GB	208.7 KB	64.5 KB
22	e3/f265d2	1663308	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 14:25:18.530	1.8s	1.7s	623.4%	187.9 MB	2.1 GB	206.1 KB	48.8 KB
23	81/6087ff	1663541	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 14:25:20.328	1.7s	1.6s	655.6%	205.5 MB	2.1 GB	205.8 KB	48.3 KB
24	ab/d50b2a	1663738	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:22.081	1.2s	1.1s	583.7%	329.5 MB	2.1 GB	202.8 KB	33.6 KB
7	e4/17f765	1660330	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:01.561	31.2s	31s	1300.1%	10.8 GB	12.1 GB	564.9 MB	181.6 KB
25	bc/eb964f	1664227	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:32.795	1.8s	1.3s	263.9%	68.1 MB	4.2 GB	14.3 MB	4.5 KB
26	88/495fd9	1664459	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:34.622	1.1s	595ms	95.6%	11.8 MB	49.4 MB	282 MB	3 KB
27	a6/d814fd	1664590	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 14:25:35.780	1.5s	1.4s	630.3%	220.3 MB	2.1 GB	202.2 KB	29.7 KB
28	80/56a596	1664788	MERGE_BLAST_RESULTS	COMPLETED	0	2025-07-24 14:25:37.363	262ms	35ms	42.4%	3.1 MB	20.3 MB	374.7 KB	252.9 KB
29	c7/912a97	1664884	PROCESS_RESULTS	COMPLETED	0	2025-07-24 14:25:37.683	2.5s	2.3s	190.0%	71.7 MB	4.2 GB	48.4 MB	5.6 KB
30	67/b1e07f	1665180	BUILD_SUMMARY	COMPLETED	0	2025-07-24 14:25:40.213	2.5s	2.1s	182.0%	52 MB	4.2 GB	15.3 MB	358.3 KB
