task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	4b/a3e75e	1470892	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-24 12:50:53.281	1s	856ms	26.3%	6.2 MB	40.4 MB	279.6 MB	279.5 MB
2	c3/3cef66	1470903	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-24 12:50:53.321	1s	831ms	27.2%	2.8 MB	20.3 MB	280.2 MB	280.1 MB
3	30/746ded	1470907	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-24 12:50:53.349	969ms	818ms	26.4%	6.2 MB	40.4 MB	281.9 MB	281.8 MB
4	0b/4e2c98	1471209	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:50:54.402	23.3s	23.1s	1202.4%	5.3 GB	6.5 GB	560.1 MB	229.1 KB
5	46/12ec80	1471205	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:50:54.365	43s	42.7s	1120.4%	9.3 GB	10.6 GB	560.3 MB	192.6 KB
7	9e/bb0846	1472622	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:51:17.690	32.7s	32.5s	1301.9%	11 GB	12.4 GB	564.9 MB	181.6 KB
6	0d/7f8925	1473578	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:51:37.577	22.6s	21.5s	1285.9%	6.9 GB	8.1 GB	564.7 MB	219 KB
8	4e/b8f7b5	1474281	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:51:50.402	21.2s	20.7s	1330.2%	6.4 GB	7.7 GB	561.2 MB	231.2 KB
13	36/400347	1475793	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:52:12.075	1.8s	1.5s	107.8%	69.7 MB	4.2 GB	14.4 MB	6 KB
14	6e/c3d1e3	1475802	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:52:12.126	1.7s	1.5s	122.3%	70 MB	4.2 GB	14.4 MB	6.8 KB
10	6d/d74526	1475666	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:52:11.586	2.3s	2s	112.4%	51.3 MB	4.2 GB	14.4 MB	6.5 KB
12	ee/0f5275	1475747	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:12.032	1.9s	1.6s	105.6%	62.4 MB	4.2 GB	14.3 MB	4.5 KB
11	2d/35a8e2	1475674	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:11.637	2.3s	1.6s	119.4%	61.2 MB	4.2 GB	14.3 MB	5.2 KB
15	47/46fb3f	1476753	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:52:13.914	1.3s	933ms	57.8%	2.8 MB	20.3 MB	282 MB	4.9 KB
16	f6/6b282c	1476756	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:52:13.981	1.3s	948ms	57.2%	3 MB	20.3 MB	280.2 MB	6.2 KB
17	a8/99b397	1476766	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:52:14.015	1.5s	671ms	86.3%	11.7 MB	48.2 MB	279.6 MB	4.8 KB
18	0a/a93ec9	1476896	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:14.508	1.1s	803ms	72.3%	10.9 MB	48 MB	282 MB	3 KB
19	c7/b60de9	1476792	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:14.148	1.7s	749ms	69.2%	3.1 MB	20.3 MB	279.6 MB	3 KB
20	4a/e3afbb	1477242	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:52:15.833	1.8s	1.7s	609.7%	176.8 MB	2.1 GB	206.1 KB	48.8 KB
21	fb/9a35d2	1477437	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:52:17.682	1.7s	1.6s	595.1%	185.1 MB	2.1 GB	208.7 KB	64.5 KB
22	33/3715ba	1477663	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:52:19.450	1.8s	1.6s	626.0%	179.4 MB	2.1 GB	205.8 KB	48.3 KB
23	34/b46dc7	1477862	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:21.262	1.6s	1.5s	597.2%	202 MB	2.1 GB	202.2 KB	29.7 KB
24	70/284f45	1478060	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:22.915	1.6s	1.4s	599.2%	203.9 MB	2.1 GB	202.2 KB	29.2 KB
9	b4/b639dc	1474884	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:00.181	32.1s	31.5s	1400.1%	9.6 GB	10.7 GB	561.4 MB	166.4 KB
25	7c/10a3f3	1478388	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:32.350	1.9s	1.3s	277.6%	68.1 MB	4.2 GB	14.3 MB	4.8 KB
26	97/3d9644	1478589	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:34.316	1.2s	626ms	91.0%	11.6 MB	48.2 MB	280.2 MB	3.3 KB
27	0e/120bae	1478704	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:52:35.532	1.3s	1.1s	671.5%	3.1 MB	20.3 MB	202.8 KB	33.6 KB
28	90/cfe77c	1478878	MERGE_BLAST_RESULTS	COMPLETED	0	2025-07-24 12:52:36.903	358ms	101ms	17.0%	2.9 MB	20.3 MB	374.7 KB	252.9 KB
29	57/9f0e6f	1478973	PROCESS_RESULTS	COMPLETED	0	2025-07-24 12:52:37.410	2.8s	2.5s	178.9%	71.3 MB	4.2 GB	48.4 MB	5.6 KB
30	d4/ae4ffb	1479225	BUILD_SUMMARY	COMPLETED	0	2025-07-24 12:52:40.261	2.8s	2.3s	170.3%	45.7 MB	4.2 GB	15.3 MB	358.3 KB
