task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	8e/05bcec	1571539	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-24 13:17:21.398	1.4s	1.1s	20.2%	5.8 MB	40.4 MB	281.9 MB	281.8 MB
1	fb/6fe0a1	1571548	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-24 13:17:21.489	1.3s	1.2s	18.0%	6.1 MB	40.4 MB	279.6 MB	279.5 MB
2	78/b4a8a6	1571542	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-24 13:17:21.457	1.4s	1.2s	19.6%	6 MB	40.4 MB	280.2 MB	280.1 MB
4	5b/21728f	1572058	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 13:17:22.921	25s	24.7s	1167.0%	6.8 GB	7.9 GB	564.7 MB	219 KB
5	3b/56b209	1572036	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 13:17:22.838	36.4s	36.1s	1211.4%	10.8 GB	12.2 GB	564.9 MB	181.6 KB
6	9e/e128b8	1573590	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 13:17:48.014	20.9s	20.3s	1306.3%	5.2 GB	6.4 GB	560.1 MB	229.1 KB
7	7b/aae849	1574321	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 13:17:59.241	40.9s	40.5s	1171.6%	9.3 GB	10.6 GB	560.3 MB	192.6 KB
9	00/d5abbd	1574916	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 13:18:08.953	32.4s	32.2s	1412.3%	9.6 GB	10.9 GB	561.4 MB	166.4 KB
12	0e/a6c64d	1576308	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 13:18:41.528	2.5s	1.8s	105.8%	60 MB	4.2 GB	14.4 MB	6.5 KB
13	c3/29452d	1576339	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 13:18:41.570	2.5s	1.8s	82.3%	60.2 MB	4.2 GB	14.3 MB	5.2 KB
