task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	78/f3f915	1446079	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-24 12:46:18.956	1.1s	918ms	23.5%	5.8 MB	40.4 MB	281.9 MB	281.8 MB
2	51/1f5007	1446027	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-24 12:46:18.861	1.2s	992ms	22.9%	6.1 MB	40.4 MB	280.2 MB	280.1 MB
1	11/467a7f	1446039	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-24 12:46:18.917	1.1s	947ms	22.9%	6 MB	40.4 MB	279.6 MB	279.5 MB
8	ec/56384c	1446378	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:46:20.096	1m 9s	1m 9s	381.5%	2.1 GB	2.4 GB	560.1 MB	229.1 KB
4	08/fdd27c	1446398	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:46:20.162	1m 11s	1m 10s	382.5%	2.6 GB	3 GB	561.2 MB	231.2 KB
6	10/3e4262	1446385	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:46:20.141	1m 12s	1m 11s	383.9%	3.2 GB	3.5 GB	564.7 MB	218.9 KB
11	aa/e7a280	1454242	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:47:30.993	3.4s	2.7s	91.8%	66 MB	4.2 GB	14.4 MB	6.8 KB
10	99/585ebc	1454026	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:47:29.297	5.1s	4.6s	45.2%	69.9 MB	4.2 GB	14.4 MB	6.5 KB
12	28/6ebc59	1454340	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:47:31.786	2.7s	2s	122.5%	52 MB	4.2 GB	14.4 MB	6 KB
15	a2/3b7e35	1455064	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:47:34.821	1s	616ms	92.3%	11.6 MB	49.4 MB	282 MB	4.9 KB
13	d6/4ac09e	1455046	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:47:34.489	1.4s	685ms	81.4%	2.9 MB	20.3 MB	280.2 MB	6.2 KB
14	26/626ee3	1455051	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:47:34.557	1.9s	791ms	66.6%	2.9 MB	20.3 MB	279.6 MB	4.8 KB
17	28/4d23ce	1455329	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:47:35.990	2.7s	2.5s	325.3%	247.4 MB	873.9 MB	208.7 KB	64.5 KB
16	c1/d6c3e0	1455316	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:47:35.942	2.8s	2.6s	329.9%	235.5 MB	873.8 MB	206.1 KB	48.8 KB
18	c9/ec7dc9	1455529	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:47:36.481	3s	2.8s	305.8%	218.2 MB	873.8 MB	205.8 KB	48.3 KB
7	b8/d66cdb	1446451	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:46:20.234	1m 46s	1m 45s	392.3%	4.5 GB	5 GB	564.9 MB	181.5 KB
19	d1/1c9334	1457042	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:06.328	2.9s	2s	149.1%	53 MB	4.2 GB	14.3 MB	4.5 KB
20	22/f53adc	1457324	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:09.312	1.1s	646ms	87.7%	11.1 MB	48.2 MB	282 MB	3 KB
21	63/4f8fab	1457438	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:10.467	2.5s	2.2s	324.9%	164.8 MB	873.7 MB	202.2 KB	29.7 KB
5	e6/ccf609	1446535	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:46:20.306	1m 54s	1m 53s	387.6%	4 GB	4.4 GB	561.4 MB	166.4 KB
9	58/a9af7f	1446420	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:46:20.203	1m 56s	1m 55s	390.8%	3.7 GB	4.1 GB	560.3 MB	192.6 KB
22	d8/d0e5ba	1457797	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:14.329	3.2s	2.4s	145.1%	71.1 MB	4.2 GB	14.3 MB	4.8 KB
24	e8/18e953	1458252	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:17.605	1.1s	711ms	67.0%	2.8 MB	20.3 MB	280.2 MB	3.3 KB
23	ef/cf6d38	1457942	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:15.852	3.9s	3.2s	114.0%	65.7 MB	4.2 GB	14.3 MB	5.2 KB
25	ea/424860	1458394	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:18.802	2.1s	1.6s	289.3%	206.1 MB	873.7 MB	202.8 KB	33.6 KB
26	ff/07f856	1458512	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:19.842	2s	661ms	85.7%	11.9 MB	49.4 MB	279.6 MB	3 KB
27	52/f259b8	1458703	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:48:21.919	2.7s	2.1s	317.8%	166.4 MB	873.7 MB	202.2 KB	29.2 KB
