task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	ef/e93b07	1426620	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-24 12:42:16.309	1s	822ms	30.1%	5.9 MB	40.4 MB	281.9 MB	281.8 MB
1	98/d53eb2	1426623	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-24 12:42:16.352	1s	837ms	30.6%	5.7 MB	40.4 MB	279.6 MB	279.5 MB
2	ca/c40684	1426637	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-24 12:42:16.372	997ms	840ms	30.6%	6 MB	40.4 MB	280.2 MB	280.1 MB
6	70/fe4348	1426998	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:42:17.467	2m 4s	2m 4s	197.9%	1.4 GB	1.6 GB	560.1 MB	229.1 KB
8	7d/ca9c7d	1427262	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:42:17.644	2m 7s	2m 7s	198.1%	1.4 GB	1.6 GB	561.2 MB	231.2 KB
10	d6/d03f47	1438017	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:44:21.549	4.4s	3.8s	70.3%	69.9 MB	4.2 GB	14.4 MB	6.5 KB
4	7f/4cf8f4	1426963	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:42:17.400	2m 10s	2m 10s	196.8%	1.6 GB	1.7 GB	564.7 MB	219 KB
12	f0/f0f128	1438676	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:44:26.069	1.7s	689ms	79.7%	11.6 MB	48.2 MB	279.6 MB	4.8 KB
11	7b/024a48	1438418	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:44:25.063	2.7s	1.9s	150.7%	53 MB	4.2 GB	14.4 MB	6.8 KB
15	12/c244c7	1438992	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:44:27.929	1.5s	585ms	95.4%	11.8 MB	49.4 MB	280.2 MB	6.2 KB
13	9e/c6571e	1438847	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:44:27.164	2.4s	1.8s	151.7%	48.1 MB	4.2 GB	14.4 MB	6 KB
17	0e/d07a41	1439345	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:44:29.668	1.5s	586ms	95.2%	11.9 MB	49.4 MB	282 MB	4.9 KB
14	23/da65fc	1438959	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:44:27.870	5.3s	4.3s	176.6%	227.1 MB	654.9 MB	205.8 KB	48.3 KB
16	02/09b2a8	1439233	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:44:29.468	4.5s	4.4s	170.5%	320.5 MB	655 MB	208.7 KB	64.5 KB
18	0c/2ed541	1439783	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:44:31.214	4.6s	4.4s	177.1%	321.2 MB	654.9 MB	206.1 KB	48.8 KB
5	1f/ac1fb3	1426960	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:42:17.370	3m 20s	3m 19s	197.9%	2.6 GB	2.8 GB	564.9 MB	181.5 KB
19	bb/908d63	1442865	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:45:37.061	2s	1.8s	185.8%	58 MB	4.2 GB	14.3 MB	4.5 KB
20	9b/453109	1443041	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:45:39.113	1.2s	610ms	91.5%	11.6 MB	49.4 MB	282 MB	3 KB
21	0b/d6e5ef	1443156	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:45:40.415	3.7s	3.5s	184.9%	271.8 MB	654.8 MB	202.2 KB	29.7 KB
9	fe/7a800a	1427207	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:42:17.602	3m 32s	3m 32s	198.4%	2.5 GB	2.8 GB	561.4 MB	166.4 KB
22	ad/427227	1443717	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:45:50.015	2.6s	2s	168.5%	54.5 MB	4.2 GB	14.3 MB	4.8 KB
23	61/7f4429	1444010	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:45:52.727	1.4s	613ms	90.9%	11.3 MB	48.2 MB	280.2 MB	3.3 KB
7	cf/5e5cf3	1426980	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:42:17.442	3m 38s	3m 38s	198.5%	2.5 GB	2.7 GB	560.3 MB	192.6 KB
24	4d/e5f35c	1444135	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:45:54.210	2.9s	2.5s	171.6%	311.9 MB	654.8 MB	202.8 KB	33.6 KB
25	5b/437e08	1444252	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:45:55.297	6.2s	4.5s	81.5%	73.4 MB	4.2 GB	14.3 MB	5.2 KB
26	91/024d6a	1444736	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:46:01.704	2.1s	738ms	77.3%	11.5 MB	48.4 MB	279.6 MB	3 KB
27	54/2c0276	1444855	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:46:04.214	3.7s	3.3s	186.4%	326.9 MB	725.2 MB	202.2 KB	29.2 KB
28	ea/007ed5	1445133	MERGE_BLAST_RESULTS	COMPLETED	0	2025-07-24 12:46:07.973	441ms	57ms	43.0%	2.9 MB	20.3 MB	374.7 KB	252.9 KB
29	34/28b8f3	1445230	PROCESS_RESULTS	COMPLETED	0	2025-07-24 12:46:08.475	2.5s	2.3s	191.3%	71.2 MB	4.2 GB	48.4 MB	5.6 KB
30	db/d0a236	1445461	BUILD_SUMMARY	COMPLETED	0	2025-07-24 12:46:11.113	2.7s	2.3s	164.3%	42.5 MB	4.2 GB	15.3 MB	358.3 KB
