task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	d8/fc1268	1562438	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-24 13:15:26.423	1.2s	971ms	23.4%	5.8 MB	40.4 MB	280.2 MB	280.1 MB
3	ad/7dfcdc	1562423	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-24 13:15:26.353	1.3s	1s	23.4%	2.9 MB	20.3 MB	281.9 MB	281.8 MB
1	fc/b44dd5	1562426	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-24 13:15:26.399	1.2s	1s	22.2%	5.9 MB	40.4 MB	279.6 MB	279.5 MB
6	c8/6e8e54	1562779	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 13:15:27.724	23s	22.7s	1245.4%	7.4 GB	8.7 GB	561.2 MB	231.2 KB
4	4d/a1e500	1564227	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 13:15:50.708	20.5s	20.1s	1301.7%	5.3 GB	6.4 GB	560.1 MB	229.1 KB
5	0b/8281d7	1562774	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 13:15:27.695	43.5s	43.2s	1108.8%	9.1 GB	10.5 GB	560.3 MB	192.6 KB
8	a2/57e924	1565211	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 13:16:11.212	22.6s	22.2s	1293.9%	6.8 GB	8.1 GB	564.7 MB	219 KB
7	38/a4fd4d	1565213	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 13:16:11.224	33.2s	33s	1407.4%	9.5 GB	10.6 GB	561.4 MB	166.4 KB
10	cb/6900b7	1567296	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 13:16:44.508	2.3s	2s	88.5%	51.7 MB	4.2 GB	14.4 MB	6.8 KB
11	f1/79be30	1567304	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 13:16:44.558	2.3s	1.8s	75.5%	63.7 MB	4.2 GB	14.4 MB	6.5 KB
