task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	6e/156dfb	2257069	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-25 15:09:36.406	972ms	825ms	27.6%	5.7 MB	40.4 MB	281.9 MB	281.8 MB
2	14/c0ebcf	2257088	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-25 15:09:36.467	951ms	807ms	28.1%	6 MB	40.4 MB	280.2 MB	280.1 MB
1	86/a6eb38	2257081	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-25 15:09:36.439	1s	830ms	27.4%	6.1 MB	40.4 MB	279.6 MB	279.5 MB
6	04/7661a2	2257436	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-25 15:09:37.642	39.8s	39.5s	718.7%	3.9 GB	4.5 GB	561.2 MB	231.2 KB
4	51/28f8cc	2257407	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-25 15:09:37.453	42.4s	42.1s	682.9%	4.7 GB	5.5 GB	564.7 MB	219 KB
5	ed/65a35e	2257415	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-25 15:09:37.545	1m 2s	1m 2s	721.7%	6.9 GB	7.7 GB	564.9 MB	181.5 KB
7	44/3d0e50	2257479	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-25 15:09:37.677	1m 5s	1m 4s	733.9%	5.8 GB	6.4 GB	561.4 MB	166.4 KB
11	4f/45867a	2262841	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-25 15:10:39.966	3.6s	2.9s	56.0%	62.4 MB	4.2 GB	14.4 MB	6 KB
12	92/531968	2262890	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-25 15:10:40.504	3.1s	2.9s	75.1%	67.4 MB	4.2 GB	14.3 MB	4.5 KB
10	ef/38c558	2262838	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-25 15:10:39.902	3.9s	3.2s	51.1%	60.4 MB	4.2 GB	14.4 MB	6.8 KB
14	dd/e6361f	2263892	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-25 15:10:43.694	1.5s	640ms	88.5%	11.8 MB	48.2 MB	282 MB	4.9 KB
15	db/484026	2263925	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-25 15:10:43.739	1.4s	665ms	84.3%	11.5 MB	48.2 MB	282 MB	3 KB
13	62/99d9e0	2263488	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-25 15:10:42.314	3.3s	2.5s	88.1%	67.5 MB	4.2 GB	14.3 MB	4.8 KB
16	e8/18a7f9	2264008	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-25 15:10:44.338	1.4s	882ms	61.8%	3 MB	20.3 MB	280.2 MB	6.2 KB
17	03/e0e945	2264274	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-25 15:10:45.226	2.6s	2.2s	429.2%	324.4 MB	1.3 GB	206.1 KB	48.8 KB
18	05/6df138	2264430	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-25 15:10:45.788	2.4s	1.7s	496.9%	195.8 MB	1.3 GB	202.2 KB	29.7 KB
19	0d/bd0559	2264836	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-25 15:10:47.853	978ms	588ms	93.7%	11.9 MB	49.4 MB	280.2 MB	3.3 KB
20	a1/7a249e	2264941	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-25 15:10:48.216	1.9s	1.7s	548.6%	201.9 MB	1.3 GB	208.7 KB	64.5 KB
21	d8/6f6b62	2265075	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-25 15:10:48.891	1.5s	1.3s	448.1%	242 MB	1.3 GB	202.8 KB	33.6 KB
8	7d/fa863a	2261010	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-25 15:10:17.467	36.5s	35.9s	738.1%	3.4 GB	4 GB	560.1 MB	229.1 KB
22	75/d5c85b	2265465	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-25 15:10:54.081	5.5s	4s	74.8%	65.4 MB	4.2 GB	14.4 MB	6.5 KB
23	87/130f0f	2265829	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-25 15:10:59.628	1.3s	585ms	93.3%	11.8 MB	49.4 MB	279.6 MB	4.8 KB
24	fa/36dc66	2265945	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-25 15:11:01.024	2.1s	1.7s	536.1%	192.1 MB	1.3 GB	205.8 KB	48.3 KB
9	65/54a60e	2261331	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-25 15:10:19.932	1m 4s	1m 3s	709.8%	6.5 GB	7.2 GB	560.3 MB	192.6 KB
25	a3/14895c	2266427	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-25 15:11:24.027	2s	1.7s	202.9%	51.5 MB	4.2 GB	14.3 MB	5.2 KB
26	a1/3826da	2266603	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-25 15:11:26.100	818ms	618ms	91.9%	11.6 MB	49.4 MB	279.6 MB	3 KB
27	35/52d0a6	2266716	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-25 15:11:26.983	1.9s	1.7s	469.5%	187.2 MB	1.3 GB	202.2 KB	29.2 KB
28	75/296fdf	2266897	MERGE_BLAST_RESULTS	COMPLETED	0	2025-07-25 15:11:28.974	305ms	32ms	64.9%	2.9 MB	20.3 MB	374.7 KB	252.9 KB
29	3b/d71834	2267021	PROCESS_RESULTS	COMPLETED	0	2025-07-25 15:11:29.337	3.1s	2.9s	153.4%	71.5 MB	4.2 GB	48.4 MB	5.6 KB
30	82/6b6959	2267274	BUILD_SUMMARY	COMPLETED	0	2025-07-25 15:11:32.589	3s	2.5s	151.8%	75.1 MB	4.2 GB	15.3 MB	358.3 KB
