task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	60/25a1fb	1395467	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-24 12:34:40.990	2.3s	2.2s	13.4%	5.9 MB	40.4 MB	279.6 MB	279.5 MB
3	7e/ffe5bc	1395450	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-24 12:34:40.939	2.4s	2.3s	12.3%	5.8 MB	40.4 MB	281.9 MB	281.8 MB
2	b5/1c9ed1	1395453	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-24 12:34:40.960	2.4s	2.3s	11.3%	5.8 MB	40.4 MB	280.2 MB	280.1 MB
4	a5/4d81bf	1396117	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:34:43.373	4m 7s	4m 7s	99.7%	805.4 MB	923.3 MB	560.1 MB	229.1 KB
10	dc/95f624	1415259	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:38:50.583	2.7s	2.1s	154.0%	51.7 MB	4.2 GB	14.4 MB	6.5 KB
11	12/f4ebc5	1415774	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:38:53.381	1.1s	578ms	93.1%	3 MB	20.3 MB	279.6 MB	4.8 KB
8	ec/e08c82	1396170	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:34:43.496	4m 13s	4m 13s	99.7%	888.7 MB	1022.9 MB	561.2 MB	231.2 KB
13	57/db1cac	1416012	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:38:56.811	1.7s	1.2s	260.4%	71.8 MB	4.2 GB	14.4 MB	6.8 KB
14	7a/737f20	1416511	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:38:58.551	1.1s	587ms	95.2%	11.9 MB	49.4 MB	280.2 MB	6.2 KB
6	ef/001eae	1396138	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:34:43.443	4m 18s	4m 17s	99.5%	877.2 MB	993.8 MB	564.7 MB	219 KB
12	31/7e71a9	1415866	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-24 12:38:54.563	7.4s	7.2s	98.1%	239.2 MB	448 MB	205.8 KB	48.3 KB
16	52/a5210a	1416904	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:39:01.091	1.9s	1.3s	239.7%	67.3 MB	4.2 GB	14.4 MB	6 KB
17	7a/efac74	1417393	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:39:02.996	1.2s	604ms	90.7%	3 MB	20.3 MB	282 MB	4.9 KB
15	44/1d80d0	1416680	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-24 12:38:59.702	7.1s	7s	97.8%	245.6 MB	448.2 MB	208.7 KB	64.5 KB
18	2f/b381c2	1417589	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-24 12:39:04.218	7.5s	7.3s	97.9%	235.5 MB	448 MB	206.1 KB	48.8 KB
7	31/42343d	1396132	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:34:43.422	6m 38s	6m 38s	99.6%	1.4 GB	1.6 GB	564.9 MB	181.5 KB
19	54/7ff78b	1422859	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:41:21.916	3.2s	2.5s	141.0%	68.3 MB	4.2 GB	14.3 MB	4.5 KB
20	f3/af7ce7	1423215	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:41:25.191	1.3s	624ms	89.2%	11.6 MB	48.2 MB	282 MB	3 KB
21	f3/dd8145	1423367	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-24 12:41:26.568	6.2s	5.9s	96.6%	242.3 MB	447.7 MB	202.2 KB	29.7 KB
9	16/2cb8e9	1396150	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:34:43.463	7m 3s	7m 3s	99.7%	1.4 GB	1.6 GB	561.4 MB	166.4 KB
22	cb/41844e	1424256	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:41:46.567	2s	1.3s	269.8%	69.9 MB	4.2 GB	14.3 MB	4.8 KB
23	ab/3222c7	1424461	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:41:48.608	1.1s	592ms	93.6%	11.8 MB	49.4 MB	280.2 MB	3.3 KB
24	a8/fd4ece	1424579	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-24 12:41:49.780	4.2s	4s	96.5%	229.7 MB	447.7 MB	202.8 KB	33.6 KB
5	c1/351e92	1396133	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:34:43.408	7m 14s	7m 14s	99.7%	1.5 GB	1.7 GB	560.3 MB	192.6 KB
25	ac/4fb60e	1424992	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:41:57.256	1.8s	1.1s	333.6%	12.7 MB	49.8 MB	14.3 MB	5.2 KB
26	46/fc5695	1425167	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:41:59.056	1.1s	595ms	95.2%	2.8 MB	20.3 MB	279.6 MB	3 KB
27	7c/33540c	1425255	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-24 12:42:00.185	5.9s	5.7s	97.9%	249.8 MB	447.7 MB	202.2 KB	29.2 KB
28	b1/921682	1425639	MERGE_BLAST_RESULTS	COMPLETED	0	2025-07-24 12:42:06.126	286ms	26ms	46.7%	0	0	374.7 KB	252.9 KB
29	27/a1cc79	1425761	PROCESS_RESULTS	COMPLETED	0	2025-07-24 12:42:06.447	2.5s	2.3s	191.8%	71.4 MB	4.2 GB	48.4 MB	5.6 KB
30	f1/157ab1	1426054	BUILD_SUMMARY	COMPLETED	0	2025-07-24 12:42:09.264	2.2s	1.8s	212.6%	60.8 MB	4.2 GB	15.3 MB	358.3 KB
