task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ed/a07d40	2190508	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10)	COMPLETED	0	2025-07-25 14:55:33.904	3.8s	3.1s	9.2%	5.9 MB	40.4 MB	279.6 MB	279.5 MB
3	dc/62c498	2190485	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10)	COMPLETED	0	2025-07-25 14:55:33.765	4.3s	4s	7.5%	5.9 MB	40.4 MB	281.9 MB	281.8 MB
2	fe/6741cd	2190496	CHECK_FNA_HEADERS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10)	COMPLETED	0	2025-07-25 14:55:33.869	4.5s	4.2s	6.8%	5.7 MB	40.4 MB	280.2 MB	280.1 MB
4	c3/af5996	2191236	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-25 14:55:37.948	4m 9s	4m 9s	99.1%	805.6 MB	923.3 MB	560.1 MB	229.1 KB
8	c5/6340fa	2191464	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-25 14:55:38.460	4m 15s	4m 14s	99.4%	888.7 MB	1022.9 MB	561.2 MB	231.2 KB
6	99/716b10	2191332	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-25 14:55:38.220	4m 18s	4m 18s	99.4%	877.4 MB	993.8 MB	564.7 MB	219 KB
10	04/71567d	2210149	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-25 14:59:47.041	9.9s	9.1s	36.0%	70.7 MB	4.2 GB	14.4 MB	6.5 KB
11	96/ace395	2211031	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-25 14:59:53.355	3.6s	2.9s	113.8%	69.9 MB	4.2 GB	14.4 MB	6.8 KB
13	82/4c966c	2211506	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-25 14:59:57.046	1.4s	877ms	59.8%	3 MB	20.3 MB	279.6 MB	4.8 KB
14	ed/ca1cba	2211543	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-25 14:59:57.115	1.4s	896ms	56.9%	3 MB	20.3 MB	280.2 MB	6.2 KB
12	8d/23d514	2211466	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-25 14:59:56.424	3.6s	2.4s	130.5%	70.6 MB	4.2 GB	14.4 MB	6 KB
17	c1/32f8f4	2212313	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-25 15:00:00.063	1.3s	641ms	86.5%	2.9 MB	20.3 MB	282 MB	4.9 KB
15	52/aa612a	2211943	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF00177)	COMPLETED	0	2025-07-25 14:59:58.570	11.7s	11.4s	62.3%	280.7 MB	448 MB	205.8 KB	48.3 KB
18	9a/924869	2212530	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF00177)	COMPLETED	0	2025-07-25 15:00:01.407	8.9s	8.6s	83.1%	321.8 MB	582.4 MB	206.1 KB	48.8 KB
16	b0/911ba7	2212001	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF00177)	COMPLETED	0	2025-07-25 14:59:58.664	11.7s	11.4s	60.3%	284.8 MB	448.2 MB	208.7 KB	64.5 KB
7	63/3d9f49	2191285	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-25 14:55:38.143	6m 39s	6m 38s	99.5%	1.4 GB	1.6 GB	564.9 MB	181.5 KB
19	79/fa406a	2219023	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-25 15:02:16.788	5.2s	4s	88.4%	67.7 MB	4.2 GB	14.3 MB	4.5 KB
20	4f/7b2a2d	2219430	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-25 15:02:22.004	1.6s	647ms	86.9%	2.9 MB	20.3 MB	282 MB	3 KB
21	d1/b10d52	2219538	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_001457615__depth10_RF01960)	COMPLETED	0	2025-07-25 15:02:23.674	6.2s	6s	95.4%	237.8 MB	447.7 MB	202.2 KB	29.7 KB
9	2d/a3b2f0	2191480	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-25 14:55:38.525	7m 3s	7m 2s	99.6%	1.5 GB	1.6 GB	561.4 MB	166.4 KB
22	44/223101	2220498	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-25 15:02:41.662	3.1s	2.2s	160.5%	73.7 MB	4.2 GB	14.3 MB	4.8 KB
23	84/659312	2220810	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-25 15:02:44.842	1.6s	590ms	90.4%	3 MB	20.3 MB	280.2 MB	3.3 KB
24	b0/12adbf	2220898	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000621645__depth10_RF01960)	COMPLETED	0	2025-07-25 15:02:46.494	4.4s	4.1s	92.7%	224.9 MB	447.7 MB	202.8 KB	33.6 KB
5	fa/04d10a	2191259	CMSEARCH (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-25 14:55:38.037	7m 15s	7m 15s	99.4%	1.5 GB	1.7 GB	560.3 MB	192.6 KB
25	06/bd86a5	2221280	GET_CMSTATS (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-25 15:02:53.413	3s	2.2s	167.8%	51 MB	4.2 GB	14.3 MB	5.2 KB
26	42/f9dd31	2221513	EXTRACT_SEQUENCES (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-25 15:02:56.470	1.5s	856ms	64.1%	2.9 MB	20.3 MB	279.6 MB	3 KB
27	86/092bf0	2221601	BLAST_ANNOTATE (contigs_drinking_water_microbiome_spike_in_GCF_000008485__depth10_RF01960)	COMPLETED	0	2025-07-25 15:02:58.003	6s	5.8s	94.3%	245.8 MB	447.7 MB	202.2 KB	29.2 KB
28	56/ed7aa8	2222015	MERGE_BLAST_RESULTS	COMPLETED	0	2025-07-25 15:03:04.125	519ms	81ms	20.3%	4.9 MB	36.2 MB	374.7 KB	252.9 KB
29	77/66f548	2222136	PROCESS_RESULTS	COMPLETED	0	2025-07-25 15:03:04.733	4s	3.7s	119.7%	71.2 MB	4.2 GB	48.4 MB	5.6 KB
30	72/baec92	2222444	BUILD_SUMMARY	COMPLETED	0	2025-07-25 15:03:09.108	5.3s	4.7s	82.0%	63.1 MB	4.2 GB	15.3 MB	358.3 KB
